Time,Emotion,Confidence
12:20:32 PM,sad,89.7
12:20:38 PM,sad,74.8
12:20:43 PM,sad,55.9
12:20:48 PM,sad,53.1
12:20:53 PM,sad,98.8
12:20:58 PM,sad,90.5
12:21:03 PM,sad,89.1
12:21:08 PM,sad,97.9
12:21:13 PM,sad,98.9
12:21:19 PM,sad,58.7
12:21:33 PM,sad,67.1
12:21:35 PM,angry,61.8
12:21:37 PM,happy,92.5
12:21:42 PM,happy,90.2
12:21:47 PM,neutral,56.0
12:21:52 PM,neutral,50.2
12:21:54 PM,sad,93.5
12:22:22 PM,sad,99.2
12:22:27 PM,sad,91.3
12:23:05 PM,sad,76.9
12:23:10 PM,sad,63.6
12:23:15 PM,sad,89.1
12:23:21 PM,sad,52.6
12:23:26 PM,sad,91.8
12:23:28 PM,neutral,84.4
12:23:31 PM,angry,93.7
12:23:36 PM,angry,54.7
12:23:40 PM,sad,67.2
12:23:42 PM,neutral,68.4
12:23:43 PM,sad,75.9
12:23:48 PM,sad,58.3
12:23:51 PM,neutral,84.8
12:23:51 PM,sad,68.0
12:23:57 PM,sad,72.3
12:24:02 PM,sad,78.0
12:24:07 PM,sad,47.5
12:24:13 PM,sad,67.2
12:24:18 PM,sad,83.4
12:24:23 PM,sad,89.9
12:24:34 PM,sad,76.5
12:24:40 PM,sad,84.3
12:24:47 PM,sad,98.0
12:24:49 PM,neutral,100.0
12:24:54 PM,neutral,63.8
12:24:59 PM,neutral,84.9
12:25:04 PM,neutral,71.4
12:25:06 PM,sad,91.9
12:25:09 PM,neutral,60.5
12:25:14 PM,neutral,98.3
12:25:19 PM,neutral,98.3
12:25:25 PM,neutral,99.7
12:25:30 PM,neutral,59.4
12:25:35 PM,neutral,61.0
12:25:37 PM,sad,86.9
12:25:42 PM,sad,95.3
12:25:47 PM,sad,94.2
12:25:52 PM,sad,70.4
12:25:58 PM,sad,61.5
12:26:03 PM,sad,62.8
12:26:05 PM,neutral,61.2
12:26:10 PM,neutral,88.8
12:26:15 PM,neutral,58.2
12:26:20 PM,neutral,63.9
12:26:21 PM,sad,76.0
12:26:24 PM,neutral,68.4
12:26:27 PM,sad,66.1
12:26:32 PM,sad,96.3
12:26:34 PM,fear,56.7
12:26:39 PM,fear,49.3
12:26:45 PM,fear,48.8
12:26:47 PM,angry,96.6
12:26:49 PM,sad,95.1
12:26:54 PM,sad,74.3
12:26:57 PM,neutral,61.9
12:27:02 PM,neutral,83.9
12:27:07 PM,neutral,95.6
12:27:12 PM,neutral,83.3
